COURSE,DEPARTMENT,COURSEID,CLASSNBR,TOTALENROLLMENT,GSAS,HCOL,NONDGR,VUS,XREG
AFRAMER  123X,AAAS,156254.0,11282.0,32.0,3.0,29.0,,,
AFRAMER  131,AAAS,111780.0,11818.0,11.0,,11.0,,,
AFRAMER  132X,AAAS,160417.0,15761.0,24.0,6.0,15.0,1.0,,2.0
AFRAMER  134,AAAS,160416.0,15762.0,18.0,,16.0,,,2.0
AFRAMER  134X,AAAS,110293.0,16555.0,10.0,,9.0,,,1.0
AFRAMER  180X,AAAS,127784.0,14574.0,6.0,3.0,3.0,,,
AFRAMER  198X,AAAS,110497.0,11090.0,10.0,4.0,5.0,,,1.0
AFRAMER  209A,AAAS,108680.0,11071.0,23.0,7.0,11.0,1.0,,4.0
AFRAMER  301,AAAS,115727.0,11922.0,4.0,4.0,,,,
AFRAMER  310,AAAS,115731.0,15660.0,1.0,1.0,,,,
AFRAMER  398,AAAS,122706.0,16877.0,1.0,1.0,,,,
AFRAMER  398,AAAS,122706.0,16878.0,1.0,1.0,,,,
AFRAMER  398,AAAS,122706.0,16880.0,2.0,2.0,,,,
AKKAD     AA,NELC,114320.0,15020.0,4.0,,1.0,1.0,,2.0
AKKAD  120A,NELC,113371.0,15018.0,2.0,2.0,,,,
AMSTDIES  201,AMER,118017.0,12520.0,13.0,12.0,,1.0,,
AMSTDIES  398,AMER,110946.0,18177.0,1.0,1.0,,,,
AMSTDIES  398,AMER,110946.0,18196.0,1.0,1.0,,,,
AMSTDIES  398,AMER,110946.0,19006.0,1.0,1.0,,,,
AMSTDIES  399,AMER,124363.0,12858.0,2.0,2.0,,,,
AMSTDIES  399,AMER,124363.0,18202.0,1.0,1.0,,,,
AMSTDIES  399,AMER,124363.0,18203.0,1.0,1.0,,,,
AMSTDIES  399,AMER,124363.0,18204.0,4.0,4.0,,,,
AMSTDIES  399,AMER,124363.0,18205.0,1.0,1.0,,,,
AMSTDIES  399,AMER,124363.0,18206.0,1.0,1.0,,,,
AMSTDIES  399,AMER,124363.0,18207.0,1.0,1.0,,,,
AMSTDIES  399,AMER,124363.0,18209.0,1.0,1.0,,,,
AMSTDIES  399,AMER,124363.0,18211.0,1.0,1.0,,,,
AMSTDIES  399,AMER,124363.0,18214.0,2.0,2.0,,,,
AMSTDIES  399,AMER,124363.0,18215.0,2.0,2.0,,,,
ANE  103,NELC,110014.0,15209.0,52.0,2.0,50.0,,,
ANE  111,NELC,120820.0,15425.0,4.0,2.0,2.0,,,
ANE  117,NELC,156358.0,11355.0,3.0,1.0,2.0,,,
ANE  120A,NELC,118849.0,12365.0,1.0,,,,,1.0
ANE  131,NELC,112752.0,10306.0,2.0,2.0,,,,
ANE  222,NELC,144784.0,15426.0,5.0,4.0,1.0,,,
ANTHRO   91ZR,ANTH,123453.0,12790.0,2.0,,2.0,,,
ANTHRO   98XA,ANTH,112093.0,10906.0,2.0,,2.0,,,
ANTHRO   98ZA,ANTH,113972.0,13954.0,10.0,,10.0,,,
ANTHRO   98ZA,ANTH,113972.0,18536.0,5.0,,5.0,,,
ANTHRO   98ZA,ANTH,113972.0,18537.0,5.0,,5.0,,,
ANTHRO   99ZA,ANTH,123458.0,15127.0,13.0,,13.0,,,
ANTHRO 1010,ANTH,112378.0,11709.0,63.0,1.0,62.0,,,
ANTHRO 1040,ANTH,109581.0,14311.0,6.0,5.0,1.0,,,
ANTHRO 1095,ANTH,113901.0,13884.0,52.0,1.0,50.0,,,1.0
ANTHRO 1401,ANTH,160434.0,15799.0,21.0,4.0,15.0,1.0,,1.0
ANTHRO 1600,ANTH,123339.0,14313.0,16.0,,16.0,,,
ANTHRO 1610,ANTH,119379.0,12630.0,21.0,,21.0,,,
ANTHRO 1645,ANTH,120570.0,16132.0,21.0,2.0,14.0,,,5.0
ANTHRO 1654,ANTH,160442.0,15809.0,6.0,1.0,4.0,,,1.0
ANTHRO 1732,ANTH,108860.0,14598.0,13.0,7.0,6.0,,,
ANTHRO 1836BR,ANTH,122149.0,13279.0,3.0,2.0,,,,1.0
ANTHRO 1951,ANTH,160410.0,15726.0,10.0,2.0,8.0,,,
ANTHRO 1980,ANTH,115007.0,17365.0,4.0,3.0,1.0,,,
ANTHRO 2070A,ANTH,120489.0,12739.0,9.0,8.0,1.0,,,
ANTHRO 2211,ANTH,160955.0,18219.0,5.0,4.0,,,,1.0
ANTHRO 2250B,ANTH,125735.0,13420.0,6.0,5.0,,1.0,,
ANTHRO 2350,ANTH,160538.0,16133.0,4.0,4.0,,,,
ANTHRO 2626,ANTH,116522.0,11924.0,3.0,3.0,,,,
ANTHRO 2650A,ANTH,110977.0,11690.0,13.0,12.0,,1.0,,
ANTHRO 2670,ANTH,160450.0,15814.0,12.0,9.0,,1.0,,2.0
ANTHRO 2676,ANTH,110034.0,14588.0,10.0,7.0,,1.0,,2.0
ANTHRO 2682,ANTH,109413.0,15983.0,5.0,5.0,,,,
ANTHRO 2690,ANTH,122439.0,15791.0,13.0,6.0,1.0,,,6.0
ANTHRO 2704,ANTH,119983.0,13039.0,7.0,5.0,,,,2.0
ANTHRO 2712,ANTH,127134.0,13721.0,7.0,1.0,5.0,,,1.0
ANTHRO 2722,ANTH,108976.0,11505.0,7.0,2.0,1.0,,,4.0
ANTHRO 3000,ANTH,113022.0,15885.0,1.0,1.0,,,,
ANTHRO 3000,ANTH,113022.0,15891.0,1.0,1.0,,,,
ANTHRO 3000,ANTH,113022.0,15909.0,1.0,1.0,,,,
ANTHRO 3001,ANTH,116603.0,15920.0,3.0,3.0,,,,
ANTHRO 3001,ANTH,116603.0,15926.0,1.0,1.0,,,,
ANTHRO 3001,ANTH,116603.0,15930.0,2.0,2.0,,,,
ANTHRO 3001,ANTH,116603.0,15932.0,1.0,1.0,,,,
ANTHRO 3200,ANTH,110152.0,10814.0,5.0,5.0,,,,
ANTHRO 3400,ANTH,119079.0,16319.0,1.0,1.0,,,,
ANTHRO 3500,ANTH,111058.0,16287.0,1.0,1.0,,,,
ANTHRO 3500,ANTH,111058.0,16298.0,2.0,2.0,,,,
APCOMP  209,SEAS,109898.0,10668.0,77.0,49.0,6.0,3.0,,19.0
APCOMP  274,SEAS,128101.0,14136.0,8.0,8.0,,,,
APCOMP  290R,SEAS,160444.0,15810.0,21.0,20.0,,,,1.0
APCOMP  298R,SEAS,109339.0,10170.0,20.0,20.0,,,,
APCOMP  299R,SEAS,109613.0,10481.0,13.0,13.0,,,,
APCOMP  302,SEAS,156535.0,11469.0,7.0,7.0,,,,
APMTH   21A,SEAS,118408.0,12080.0,168.0,,168.0,,,
APMTH   91R,SEAS,121692.0,12900.0,7.0,,7.0,,,
APMTH   99R,SEAS,115654.0,12534.0,8.0,,8.0,,,
APMTH  101,SEAS,132127.0,11490.0,21.0,,21.0,,,
APMTH  104,SEAS,122094.0,14315.0,26.0,3.0,23.0,,,
APMTH  115,SEAS,118021.0,12522.0,37.0,4.0,31.0,2.0,,
APMTH  121,SEAS,123662.0,12926.0,75.0,2.0,70.0,,3.0,
APMTH  140R,SEAS,110063.0,16273.0,11.0,,11.0,,,
APMTH  140R,SEAS,110063.0,16274.0,3.0,,3.0,,,
APMTH  147,SEAS,121989.0,13176.0,13.0,,12.0,1.0,,
APMTH  203,SEAS,156203.0,11241.0,18.0,13.0,5.0,,,
APMTH  205,SEAS,110684.0,14319.0,30.0,28.0,1.0,1.0,,
APMTH  254,SEAS,160447.0,15811.0,11.0,9.0,2.0,,,
APMTH  299R,SEAS,116840.0,12239.0,4.0,4.0,,,,
APMTH  316,SEAS,131434.0,11544.0,1.0,1.0,,,,
APMTH  318,SEAS,116187.0,12198.0,5.0,5.0,,,,
APMTH  320,SEAS,118975.0,12475.0,5.0,5.0,,,,
APMTH  324,SEAS,159776.0,14940.0,1.0,1.0,,,,
APMTH  332,SEAS,116297.0,12294.0,2.0,2.0,,,,
APPHY   50A,SEAS,108880.0,11346.0,75.0,,75.0,,,
APPHY  195,SEAS,131331.0,14321.0,10.0,6.0,4.0,,,
APPHY  217,SEAS,121975.0,13161.0,26.0,26.0,,,,
APPHY  218,SEAS,121594.0,16574.0,6.0,6.0,,,,
APPHY  225,SEAS,121403.0,13504.0,16.0,15.0,1.0,,,
APPHY  282,SEAS,142998.0,14323.0,8.0,7.0,,,,1.0
APPHY  299R,SEAS,131373.0,10360.0,18.0,18.0,,,,
APPHY  302,SEAS,121977.0,13167.0,1.0,1.0,,,,
APPHY  304,SEAS,123949.0,13151.0,11.0,11.0,,,,
APPHY  322,SEAS,125476.0,13083.0,1.0,1.0,,,,
APPHY  330,SEAS,125472.0,13077.0,5.0,5.0,,,,
APPHY  332,SEAS,131285.0,10927.0,1.0,1.0,,,,
APPHY  334,SEAS,143230.0,12234.0,3.0,3.0,,,,
APPHY  338,SEAS,146784.0,11405.0,4.0,4.0,,,,
APPHY  342,SEAS,122881.0,12980.0,11.0,11.0,,,,
APPHY  348,SEAS,113128.0,10502.0,1.0,1.0,,,,
APPHY  350,SEAS,156736.0,11609.0,8.0,8.0,,,,
APPHY  354,SEAS,156741.0,11615.0,4.0,4.0,,,,
APPHY  356,SEAS,116189.0,12202.0,1.0,1.0,,,,
APPHY  360,SEAS,133140.0,10571.0,6.0,6.0,,,,
APPHY  362,SEAS,117862.0,12320.0,10.0,10.0,,,,
APPHY  364,SEAS,112454.0,11768.0,17.0,17.0,,,,
APPHY  372,SEAS,125419.0,13027.0,7.0,7.0,,,,
APPHY  374,SEAS,126172.0,13645.0,4.0,4.0,,,,
APPHY  376,SEAS,110265.0,10878.0,4.0,4.0,,,,
APPHY  384,SEAS,121287.0,13358.0,1.0,1.0,,,,
APPHY  388,SEAS,118649.0,12205.0,1.0,1.0,,,,
APPHY  392,SEAS,120887.0,13042.0,8.0,8.0,,,,
APPHY  396,SEAS,142229.0,12500.0,3.0,3.0,,,,
APPHY  398,SEAS,148042.0,12513.0,4.0,4.0,,,,
ARABIC     AA,NELC,116746.0,15181.0,11.0,,6.0,,,5.0
ARABIC     AA,NELC,116746.0,15252.0,18.0,1.0,16.0,,,1.0
ARABIC     AA,NELC,116746.0,15253.0,6.0,1.0,2.0,,,3.0
ARABIC     AA,NELC,116746.0,15254.0,1.0,1.0,,,,
ARABIC     AA,NELC,116746.0,16901.0,19.0,5.0,11.0,2.0,,1.0
ARABIC     AA,NELC,116746.0,16902.0,5.0,,4.0,,,1.0
ARABIC     AA,NELC,116746.0,16903.0,3.0,1.0,2.0,,,
ARABIC     AA,NELC,116746.0,16904.0,2.0,,2.0,,,
ARABIC     BA,NELC,109425.0,10275.0,7.0,3.0,3.0,,,1.0
ARABIC     BA,NELC,109425.0,15257.0,11.0,,10.0,,,1.0
ARABIC     BA,NELC,109425.0,15258.0,13.0,1.0,12.0,,,
ARABIC     BA,NELC,109425.0,18228.0,2.0,1.0,1.0,,,
ARABIC  130A,NELC,114034.0,14055.0,8.0,2.0,4.0,1.0,,1.0
ARABIC  131A,NELC,121346.0,14327.0,12.0,4.0,5.0,,,3.0
ARABIC  131A,NELC,121346.0,15259.0,12.0,5.0,7.0,,,
ARABIC  160R,NELC,116508.0,11919.0,3.0,3.0,,,,
ARABIC  241AR,NELC,112869.0,17297.0,14.0,6.0,6.0,1.0,,1.0
ARABIC  242AR,NELC,108971.0,11500.0,6.0,3.0,2.0,,,1.0
ARABIC  248R,NELC,137756.0,15439.0,4.0,3.0,,,,1.0
ARABIC  251R,NELC,156121.0,15979.0,7.0,3.0,2.0,,,2.0
ARABIC  320,NELC,116008.0,12084.0,2.0,2.0,,,,
ARMEN     BA,NELC,120550.0,15558.0,2.0,,2.0,,,
ARMEN  300,NELC,111554.0,11070.0,1.0,1.0,,,,
ARMENST  110A,NELC,159677.0,14708.0,2.0,,2.0,,,
ASTRON    2,ASTR,111305.0,10515.0,10.0,,9.0,,,1.0
ASTRON   17,ASTR,125884.0,16445.0,32.0,,32.0,,,
ASTRON   98,ASTR,112487.0,11798.0,11.0,,11.0,,,
ASTRON   99A,ASTR,116041.0,15019.0,8.0,,8.0,,,
ASTRON  200,ASTR,124966.0,14213.0,15.0,14.0,1.0,,,
ASTRON  202A,ASTR,118139.0,11957.0,15.0,13.0,2.0,,,
ASTRON  215HFA,ASTR,109579.0,16383.0,8.0,8.0,,,,
ASTRON  218,ASTR,112022.0,15455.0,7.0,7.0,,,,
ASTRON  300,ASTR,122728.0,12825.0,2.0,2.0,,,,
ASTRON  300,ASTR,122728.0,16108.0,2.0,2.0,,,,
ASTRON  300,ASTR,122728.0,16109.0,5.0,5.0,,,,
ASTRON  300,ASTR,122728.0,16110.0,4.0,4.0,,,,
ASTRON  300,ASTR,122728.0,16111.0,3.0,3.0,,,,
ASTRON  300,ASTR,122728.0,16112.0,5.0,5.0,,,,
ASTRON  300,ASTR,122728.0,16113.0,2.0,2.0,,,,
ASTRON  300,ASTR,122728.0,16114.0,3.0,3.0,,,,
ASTRON  300,ASTR,122728.0,16115.0,1.0,1.0,,,,
ASTRON  300,ASTR,122728.0,16116.0,6.0,6.0,,,,
ASTRON  300,ASTR,122728.0,16117.0,6.0,6.0,,,,
ASTRON  300,ASTR,122728.0,16118.0,4.0,4.0,,,,
ASTRON  300,ASTR,122728.0,16119.0,6.0,6.0,,,,
ASTRON  300,ASTR,122728.0,16120.0,7.0,7.0,,,,
ASTRON  300,ASTR,122728.0,16121.0,1.0,1.0,,,,
ASTRON  300,ASTR,122728.0,16122.0,3.0,3.0,,,,
ASTRON  300,ASTR,122728.0,16124.0,1.0,1.0,,,,
ASTRON  301HFA,ASTR,121382.0,16385.0,48.0,48.0,,,,
BBS  230,MDSC,108994.0,11534.0,52.0,52.0,,,,
BBS  301,MDSC,127207.0,13761.0,15.0,15.0,,,,
BBS  330,MDSC,156089.0,11168.0,55.0,55.0,,,,
BBS  333R,MDSC,110559.0,11771.0,62.0,62.0,,,,
BCMP  200,MDSC,116477.0,14329.0,49.0,49.0,,,,
BCMP  218,MDSC,122596.0,12693.0,8.0,7.0,,,,1.0
BCMP  230,MDSC,114740.0,12398.0,6.0,,5.0,1.0,,
BCMP  308QC,MDSC,108999.0,11538.0,11.0,9.0,,,,2.0
BCMP  311,MDSC,133725.0,11043.0,2.0,2.0,,,,
BCMP  311QC,MDSC,156498.0,18529.0,2.0,2.0,,,,
BCMP  312,MDSC,126361.0,13781.0,1.0,1.0,,,,
BCMP  313,MDSC,109149.0,11710.0,1.0,1.0,,,,
BCMP  314,MDSC,117857.0,12311.0,1.0,1.0,,,,
BCMP  320,MDSC,111833.0,11871.0,7.0,7.0,,,,
BCMP  321,MDSC,156669.0,11577.0,2.0,2.0,,,,
BCMP  325,MDSC,113667.0,12287.0,1.0,1.0,,,,
BCMP  328,MDSC,119840.0,12943.0,2.0,2.0,,,,
BCMP  349,MDSC,122746.0,12845.0,3.0,3.0,,,,
BCMP  358,MDSC,122742.0,12836.0,1.0,1.0,,,,
BCMP  362,MDSC,114726.0,12390.0,3.0,3.0,,,,
BCMP  363,MDSC,114763.0,12426.0,4.0,4.0,,,,
BCMP  366,MDSC,119609.0,12738.0,6.0,6.0,,,,
BCMP  371,MDSC,115348.0,12166.0,3.0,3.0,,,,
BCMP  381,MDSC,123001.0,13249.0,4.0,4.0,,,,
BCMP  383,MDSC,125361.0,12789.0,3.0,3.0,,,,
BCMP  384,MDSC,125402.0,12899.0,1.0,1.0,,,,
BCMP  386,MDSC,128175.0,14154.0,1.0,1.0,,,,
BCMP  387,MDSC,108354.0,10908.0,1.0,1.0,,,,
BCMP  388,MDSC,128193.0,14161.0,1.0,1.0,,,,
BCMP  390,MDSC,107622.0,10237.0,3.0,3.0,,,,
BCMP  391,MDSC,107864.0,10405.0,1.0,1.0,,,,
BCS     AR,SLAV,110073.0,10760.0,1.0,1.0,,,,
BCS     BR,SLAV,110074.0,10761.0,2.0,1.0,1.0,,,
BCS     CR,SLAV,110075.0,10763.0,3.0,,3.0,,,
BE   91R,SEAS,108926.0,11448.0,10.0,,10.0,,,
BE  110,SEAS,150189.0,13447.0,34.0,2.0,32.0,,,
BE  121,SEAS,119067.0,12613.0,6.0,1.0,5.0,,,
BIOPHYS  170,BIPH,121318.0,13380.0,8.0,8.0,,,,
BIOPHYS  300,BIPH,121518.0,12700.0,38.0,38.0,,,,
BIOPHYS  302,BIPH,123175.0,13553.0,2.0,2.0,,,,
BIOPHYS  307,BIPH,122047.0,13230.0,1.0,1.0,,,,
BIOPHYS  313,BIPH,124781.0,13271.0,1.0,1.0,,,,
BIOPHYS  315,BIPH,111966.0,10361.0,1.0,1.0,,,,
BIOPHYS  325,BIPH,125776.0,13456.0,3.0,3.0,,,,
BIOPHYS  334,BIPH,126675.0,14050.0,1.0,1.0,,,,
BIOPHYS  335,BIPH,127686.0,13962.0,2.0,2.0,,,,
BIOPHYS  339,BIPH,127688.0,13964.0,1.0,1.0,,,,
BIOPHYS  354,BIPH,113908.0,13890.0,1.0,1.0,,,,
BIOPHYS  368,BIPH,115668.0,12551.0,2.0,2.0,,,,
BIOPHYS  369,BIPH,115669.0,12553.0,1.0,1.0,,,,
BIOPHYS  375,BIPH,115676.0,11896.0,1.0,1.0,,,,
BIOPHYS  376,BIPH,116572.0,11975.0,1.0,1.0,,,,
BIOPHYS  381,BIPH,116577.0,11983.0,3.0,3.0,,,,
BIOPHYS  386,BIPH,118091.0,12582.0,1.0,1.0,,,,
BIOPHYS  396,BIPH,119227.0,12567.0,1.0,1.0,,,,
BIOSTAT  230,BIST,119844.0,12949.0,8.0,8.0,,,,
BIOSTAT  232,BIST,119846.0,12950.0,9.0,9.0,,,,
BIOSTAT  235,BIST,119848.0,12953.0,22.0,22.0,,,,
BIOSTAT  250,BIST,119854.0,12959.0,14.0,14.0,,,,
BIOSTAT  267,BIST,160643.0,16760.0,6.0,5.0,,1.0,,
BIOSTAT  273,BIST,160712.0,17166.0,6.0,5.0,,1.0,,
BIOSTAT  299,BIST,126948.0,13649.0,5.0,5.0,,,,
BIOSTAT  350,BIST,119866.0,12969.0,3.0,3.0,,,,
BIOSTAT  350,BIST,119866.0,15775.0,1.0,1.0,,,,
BIOSTAT  350,BIST,119866.0,15776.0,7.0,7.0,,,,
BIOSTAT  350,BIST,119866.0,15777.0,1.0,1.0,,,,
BIOSTAT  350,BIST,119866.0,15778.0,1.0,1.0,,,,
BIOSTAT  350,BIST,119866.0,15780.0,1.0,1.0,,,,
BIOSTAT  350,BIST,119866.0,15781.0,1.0,1.0,,,,
BIOSTAT  350,BIST,119866.0,15782.0,1.0,1.0,,,,
BIOSTAT  350,BIST,119866.0,15783.0,1.0,1.0,,,,
BIOSTAT  350,BIST,119866.0,15784.0,6.0,6.0,,,,
BIOSTAT  350,BIST,119866.0,15786.0,2.0,2.0,,,,
BIOSTAT  350,BIST,119866.0,15787.0,1.0,1.0,,,,
BIOSTAT  350,BIST,119866.0,16341.0,2.0,2.0,,,,
BIOSTAT  350,BIST,119866.0,16345.0,2.0,2.0,,,,
BIOSTAT  350,BIST,119866.0,16346.0,2.0,2.0,,,,
BIOSTAT  350,BIST,119866.0,16347.0,1.0,1.0,,,,
BIOSTAT  350,BIST,119866.0,16348.0,1.0,1.0,,,,
BIOSTAT  350,BIST,119866.0,18826.0,1.0,1.0,,,,
BPH  201R,BSPH,126402.0,13823.0,7.0,7.0,,,,
BPH  208,BSPH,113276.0,14331.0,2.0,2.0,,,,
BPH  215,BSPH,115767.0,11958.0,1.0,1.0,,,,
BPH  301,BSPH,110521.0,11307.0,7.0,7.0,,,,
BPH  304QC,BSPH,127601.0,13934.0,2.0,2.0,,,,
BPH  309QC,BSPH,127755.0,13989.0,13.0,12.0,,,,1.0
BPH  310QC,BSPH,127931.0,14088.0,11.0,11.0,,,,
BPH  315,BSPH,131484.0,10285.0,2.0,2.0,,,,
BPH  319,BSPH,123667.0,12930.0,2.0,2.0,,,,
BPH  323,BSPH,116391.0,12396.0,2.0,2.0,,,,
BPH  326,BSPH,159945.0,18221.0,1.0,1.0,,,,
BPH  334,BSPH,112702.0,10177.0,1.0,1.0,,,,
BPH  339,BSPH,112707.0,10190.0,1.0,1.0,,,,
BPH  345,BSPH,112714.0,10204.0,3.0,3.0,,,,
BPH  357,BSPH,112726.0,10225.0,1.0,1.0,,,,
BPH  358,BSPH,112727.0,10227.0,1.0,1.0,,,,
BPH  365,BSPH,116290.0,12284.0,3.0,3.0,,,,
BPH  372,BSPH,120257.0,13385.0,2.0,2.0,,,,
BPH  374,BSPH,121278.0,13347.0,3.0,3.0,,,,
BPH  375,BSPH,121279.0,13350.0,4.0,4.0,,,,
BPH  376,BSPH,123059.0,13321.0,4.0,4.0,,,,
BPH  377,BSPH,126513.0,13915.0,2.0,2.0,,,,
BPH  379,BSPH,127158.0,13733.0,2.0,2.0,,,,
BPH  380,BSPH,127157.0,13732.0,1.0,1.0,,,,
BPH  382,BSPH,107908.0,10452.0,2.0,2.0,,,,
BPH  384,BSPH,109266.0,11746.0,3.0,3.0,,,,
BPH  385,BSPH,109267.0,11747.0,1.0,1.0,,,,
BPH  386,BSPH,109268.0,11749.0,1.0,1.0,,,,
BPH  388,BSPH,109362.0,10192.0,2.0,2.0,,,,
BPH  391,BSPH,160461.0,18222.0,1.0,1.0,,,,
BSDM  300,BSDM,117895.0,12364.0,3.0,3.0,,,,
CATALAN     BA,ROML,114279.0,16694.0,4.0,1.0,3.0,,,
CATALAN   91R,ROML,114454.0,12254.0,1.0,,1.0,,,
CELLBIO  226,MDSC,121707.0,12936.0,6.0,6.0,,,,
CELLBIO  305QC,MDSC,107336.0,10114.0,3.0,3.0,,,,
CELLBIO  306,MDSC,126365.0,13788.0,2.0,2.0,,,,
CELLBIO  306QC,MDSC,107400.0,10149.0,4.0,4.0,,,,
CELLBIO  310,MDSC,121563.0,12763.0,2.0,2.0,,,,
CELLBIO  310QC,MDSC,109381.0,15511.0,11.0,10.0,,,,1.0
CELLBIO  313,MDSC,126366.0,13790.0,1.0,1.0,,,,
CELLBIO  313QC,MDSC,160762.0,18010.0,4.0,4.0,,,,
CELLBIO  317,MDSC,111380.0,10810.0,1.0,1.0,,,,
CELLBIO  319,MDSC,109148.0,11708.0,3.0,3.0,,,,
CELLBIO  321,MDSC,114269.0,12090.0,1.0,1.0,,,,
CELLBIO  325,MDSC,127374.0,13831.0,3.0,3.0,,,,
CELLBIO  329,MDSC,119495.0,12669.0,2.0,2.0,,,,
CELLBIO  336,MDSC,119551.0,12698.0,3.0,3.0,,,,
CELLBIO  339,MDSC,113489.0,11940.0,1.0,1.0,,,,
CELLBIO  345,MDSC,119350.0,12620.0,2.0,2.0,,,,
CELLBIO  348,MDSC,110253.0,10864.0,1.0,1.0,,,,
CELLBIO  349,MDSC,124315.0,12717.0,5.0,5.0,,,,
CELLBIO  359,MDSC,110416.0,10999.0,1.0,1.0,,,,
CELLBIO  366,MDSC,128172.0,14152.0,1.0,1.0,,,,
CELLBIO  375,MDSC,127583.0,13926.0,2.0,2.0,,,,
CELLBIO  376,MDSC,115970.0,12051.0,1.0,1.0,,,,
CELLBIO  377,MDSC,120176.0,13280.0,1.0,1.0,,,,
CELLBIO  383,MDSC,125265.0,12703.0,3.0,3.0,,,,
CELLBIO  386,MDSC,109086.0,11635.0,2.0,2.0,,,,
CELLBIO  387,MDSC,109087.0,11637.0,1.0,1.0,,,,
CELLBIO  399,MDSC,121654.0,12853.0,3.0,3.0,,,,
CELTIC   91R,CELT,110646.0,10304.0,1.0,,1.0,,,
CELTIC  103,CELT,126774.0,15714.0,19.0,,19.0,,,
CELTIC  109,CELT,127630.0,15723.0,7.0,1.0,6.0,,,
CELTIC  260,CELT,160492.0,17004.0,1.0,1.0,,,,
CELTIC  305,CELT,113390.0,11843.0,1.0,1.0,,,,
CHEM   17,CHEM,115137.0,14219.0,259.0,,258.0,,,1.0
CHEM   30,CHEM,118925.0,14221.0,64.0,,64.0,,,
CHEM   60,CHEM,114811.0,15040.0,6.0,,6.0,,,
CHEM   98R,CHEM,112494.0,11800.0,3.0,,3.0,,,
CHEM   99R,CHEM,113976.0,13955.0,8.0,,8.0,,,
CHEM  100R,CHEM,123022.0,14225.0,9.0,,9.0,,,
CHEM  101,CHEM,124554.0,15045.0,41.0,18.0,21.0,1.0,,1.0
CHEM  106,CHEM,108840.0,15058.0,5.0,4.0,1.0,,,
CHEM  115,CHEM,114209.0,15061.0,9.0,5.0,4.0,,,
